Date,Open,High,Low,Close,Adj Close,Volume
2023-08-16,16779.599609,16867.800781,16732.750000,16853.050781,16853.050781,0
2023-08-17,16858.849609,16869.400391,16781.599609,16802.250000,16802.250000,20478700
2023-08-18,16768.000000,16803.250000,16722.050781,16757.699219,16757.699219,19005500
2023-08-21,16780.750000,16872.550781,16766.699219,16852.050781,16852.050781,17652800
2023-08-22,16886.949219,16925.449219,16874.800781,16905.250000,16905.250000,22516400
2023-08-23,16950.900391,16981.849609,16912.150391,16950.250000,16950.250000,22837200
2023-08-24,17039.250000,17074.250000,16916.400391,16930.150391,16930.150391,24143400
2023-08-25,16871.000000,16905.699219,16785.250000,16820.849609,16820.849609,25050200
2023-08-28,16866.400391,16918.250000,16823.400391,16875.300781,16875.300781,24426100
2023-08-29,16933.849609,16938.800781,16898.050781,16927.300781,16927.300781,25140300
2023-08-30,17010.150391,17035.599609,16959.099609,16968.949219,16968.949219,22475100
2023-08-31,17001.349609,17011.800781,16904.699219,16924.300781,16924.300781,38895000
2023-09-01,16940.199219,17088.099609,16931.500000,17074.550781,17074.550781,39465900
2023-09-04,17157.900391,17191.199219,17074.550781,17180.949219,17180.949219,4456715100
2023-09-05,17228.199219,17264.900391,17180.949219,17252.099609,17252.099609,37702500
2023-09-06,17274.199219,17298.800781,17198.750000,17284.599609,17284.599609,30486500
2023-09-07,17292.349609,17395.000000,17269.099609,17385.500000,17385.500000,27654800
2023-09-08,17437.650391,17519.599609,17385.500000,17487.449219,17487.449219,29913900
2023-09-11,17567.199219,17660.800781,17550.199219,17653.349609,17653.349609,37172200
2023-09-12,17753.949219,17754.050781,17422.050781,17460.550781,17460.550781,44340200
2023-09-13,17458.400391,17540.849609,17364.349609,17526.750000,17526.750000,34773200
2023-09-14,17593.250000,17648.550781,17546.000000,17603.500000,17603.500000,29508800
2023-09-15,17662.800781,17691.849609,17620.900391,17665.800781,17665.800781,41392000
2023-09-18,17666.849609,17671.599609,17601.550781,17613.599609,17613.599609,44639200
2023-09-20,17513.199219,17571.150391,17419.750000,17449.349609,17449.349609,30967800
2023-09-21,17409.099609,17422.750000,17273.099609,17303.500000,17303.500000,28822700
2023-09-22,17314.400391,17361.800781,17226.050781,17260.800781,17260.800781,30348000
2023-09-25,17276.349609,17308.199219,17198.199219,17272.550781,17272.550781,23415700
2023-09-26,17284.900391,17312.349609,17250.300781,17276.750000,17276.750000,23871700
2023-09-27,17270.400391,17352.099609,17217.449219,17341.599609,17341.599609,24176400
2023-09-28,17384.050781,17389.199219,17147.000000,17170.449219,17170.449219,29247500
2023-09-29,17227.550781,17357.150391,17205.199219,17292.599609,17292.599609,20880800
2023-10-03,17294.500000,17295.449219,17201.699219,17254.400391,17254.400391,24738400
2023-10-04,17195.550781,17200.699219,17032.599609,17123.099609,17123.099609,29957400
2023-10-05,17202.250000,17234.000000,17154.300781,17195.800781,17195.800781,24783900
2023-10-06,17263.349609,17310.099609,17237.099609,17293.599609,17293.599609,22409800
